"X","Y","Z"
2680729.35,1247850.46,412.35
2680729.3,1247850.95,412.32
2680729.23,1247851.43,412.33
2680729.16,1247851.96,412.32
2680729.08,1247852.5,412.35
2680729.85,1247847.43,412.32
2680729.78,1247847.96,412.32
2680729.71,1247848.46,412.33
2680729.64,1247848.99,412.33
2680729.58,1247849.48,412.32
2680729.52,1247849.96,412.31
2680729.45,1247850.46,412.34
2680729.37,1247850.98,412.33
2680729.31,1247851.52,412.32
2680729.25,1247852,412.32
2680729.17,1247852.53,412.35
2680728.83,1247855.07,412.32
2680729.98,1247846.42,412.34
2680729.92,1247846.9,412.32
2680729.65,1247852.17,412.34
2680729.58,1247852.68,412.3
2680729.24,1247855.25,412.3
2680730.33,1247850.41,412.33
2680730.27,1247850.96,412.32
2680730.21,1247851.43,412.31
2680730.14,1247851.93,412.31
2680730.08,1247852.41,412.32
2680730,1247852.96,412.34
2680730.37,1247846.61,412.35
2680730.31,1247847.13,412.32
2680730.25,1247847.62,412.35
2680730.18,1247848.14,412.35
2680730.1,1247848.64,412.36
2680730.05,1247849.11,412.36
2680729.98,1247849.62,412.35
2680729.92,1247850.14,412.34
2680729.85,1247850.68,412.3
2680729.78,1247851.15,412.31
2680729.71,1247851.68,412.36
2680730.37,1247852.23,412.3
2680730.24,1247853.25,412.33
2680725.44,1247852.37,412.32
2680725.43,1247851.88,412.31
2680725.42,1247851.37,412.33
2680725.41,1247850.87,412.36
2680725.4,1247850.41,412.32
2680725.39,1247849.91,412.39
2680725.37,1247849.4,412.33
2680725.37,1247848.88,412.4
2680725.35,1247848.41,412.38
2680725.33,1247847.89,412.35
2680725.33,1247847.41,412.32
2680725.31,1247846.92,412.35
2680725.31,1247846.47,412.35
2680725.45,1247852.87,412.3
2680725.92,1247852.9,412.31
2680725.91,1247852.42,412.32
2680725.89,1247851.9,412.31
2680725.87,1247851.39,412.31
2680725.87,1247850.9,412.35
2680725.85,1247850.4,412.35
2680725.85,1247849.9,412.38
2680725.83,1247849.43,412.34
2680725.83,1247848.95,412.37
2680725.81,1247848.45,412.33
2680725.81,1247847.91,412.38
2680725.8,1247847.45,412.34
2680725.78,1247846.91,412.35
2680725.77,1247846.45,412.31
2680726.27,1247855.97,412.3
2680726.23,1247853.97,412.32
2680726.22,1247853.5,412.34
2680726.2,1247852.98,412.3
2680726.18,1247852.01,412.3
2680726.17,1247851.55,412.32
2680726.16,1247851.02,412.35
2680726.15,1247850.51,412.33
2680726.14,1247850.02,412.36
2680726.12,1247849.51,412.35
2680726.12,1247849.03,412.39
2680726.1,1247848.07,412.37
2680726.08,1247847.56,412.31
2680726.06,1247847.04,412.37
2680726.06,1247846.56,412.34
2680726.98,1247855.97,412.3
2680726.91,1247852.99,412.32
2680726.89,1247851.98,412.31
2680726.87,1247851.03,412.31
2680726.85,1247850.56,412.35
2680726.85,1247850.02,412.34
2680726.83,1247849.53,412.37
2680726.83,1247849.04,412.37
2680726.81,1247848.53,412.34
2680726.81,1247848.03,412.41
2680726.79,1247847.58,412.34
2680726.78,1247847.08,412.36
2680726.77,1247846.57,412.36
