"","OBJECTID","Status","BaumGattun","xtf_id","BaumArtLat","Kategorie","Pflanzjahr","Baumtyp","Quartier","Strasse","BaumNameLa","Baumnummer","POI_ID","BaumNameDe","Baumtyptex","Genauigkei","geometry"
"47440",47440,"Grünanlage","Acer","47439","palmatum","Parkbaum","1990","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Acer palmatum","WD-6602","bm_47439","Fächer-Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680852.2901001, 1247687.61010742)
"47441",47441,"Grünanlage","Juniperus","47440","spec.","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Juniperus spec.","WD-6604","bm_47440","Wacholder, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680800.61010742, 1247736.30010987)
"47442",47442,"Grünanlage","Aesculus","47441","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6605","bm_47441","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680804.75012207, 1247751.0100708)
"47443",47443,"Grünanlage","Aesculus","47442","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6606","bm_47442","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680809.52008057, 1247746.35009766)
"47444",47444,"Grünanlage","Aesculus","47443","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6607","bm_47443","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680804.60009766, 1247740.96008301)
"47445",47445,"Grünanlage","Aesculus","47444","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6608","bm_47444","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680814.55010986, 1247741.91009521)
"47446",47446,"Grünanlage","Aesculus","47445","hippocastanum","Parkbaum","1990","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6609","bm_47445","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680809.70007324, 1247736.66009522)
"47447",47447,"Grünanlage","Aesculus","47446","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6610","bm_47446","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680819.07012939, 1247737.61010742)
"47448",47448,"Grünanlage","Aesculus","47447","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6611","bm_47447","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680814.15008545, 1247731.9901123)
"47449",47449,"Grünanlage","Aesculus","47448","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6612","bm_47448","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680823.81011963, 1247732.94012451)
"47450",47450,"Grünanlage","Aesculus","47449","hippocastanum","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6613","bm_47449","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680819.18011475, 1247727.91009521)
"47451",47451,"Grünanlage","Aesculus","47450","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6614","bm_47450","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680828.03009033, 1247729.08007812)
"47452",47452,"Grünanlage","Aesculus","47451","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6640","bm_47451","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680940.28009033, 1247622.5401001)
"47453",47453,"Grünanlage","Aesculus","47452","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6641","bm_47452","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680935.5100708, 1247617.15008545)
"47454",47454,"Grünanlage","Aesculus","47453","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6642","bm_47453","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680945.13012695, 1247618.2401123)
"47455",47455,"Grünanlage","Aesculus","47454","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6643","bm_47454","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680940.03009033, 1247612.70007324)
"47456",47456,"Grünanlage","Aesculus","47455","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6644","bm_47455","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680953.36010742, 1247610.08007812)
"47457",47457,"Grünanlage","Aesculus","47456","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6645","bm_47456","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680948.37011719, 1247604.91009522)
"47458",47458,"Grünanlage","Aesculus","47457","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6646","bm_47457","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680958.32012939, 1247605.42010498)
"47459",47459,"Grünanlage","Aesculus","47458","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6647","bm_47458","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680953.47009277, 1247600.39007569)
"47460",47460,"Grünanlage","Aesculus","47459","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6648","bm_47459","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680958.03009033, 1247596.09008789)
"47461",47461,"Grünanlage","Aesculus","47460","hippocastanum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Aesculus hippocastanum","WD-6649","bm_47460","Gemeine Rosskastanie","nicht zugeordnet","Bildschirmeingabe",c(2680962.80010986, 1247601.41009522)
"47462",47462,"Grünanlage","Tilia","47461","tomentosa","Parkbaum","1930","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Tilia tomentosa","WD-6650","bm_47461","Ungarische Silber-Linde","nicht zugeordnet","Bildschirmeingabe",c(2680933.28009033, 1247751.25012207)
"47463",47463,"Grünanlage","Tilia","47462","tomentosa","Parkbaum","1930","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Tilia tomentosa","WD-6651","bm_47462","Ungarische Silber-Linde","nicht zugeordnet","Bildschirmeingabe",c(2680938.27008057, 1247746.44012451)
"47464",47464,"Grünanlage","Thuja","47463","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6652","bm_47463","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680929.45007324, 1247746.5100708)
"47465",47465,"Grünanlage","Thuja","47464","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6653","bm_47464","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680934.08007812, 1247741.63012695)
"47466",47466,"Grünanlage","Thuja","47465","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6654","bm_47465","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680925.30010986, 1247742.21008301)
"47467",47467,"Grünanlage","Thuja","47466","occidentalis","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6655","bm_47466","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680930.58007812, 1247737.47009278)
"47468",47468,"Grünanlage","Thuja","47467","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6656","bm_47467","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680921.58007812, 1247738.27008056)
"47469",47469,"Grünanlage","Thuja","47468","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6657","bm_47468","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680926.57012939, 1247733.46008301)
"47470",47470,"Grünanlage","Thuja","47469","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6658","bm_47469","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680917.17010498, 1247734.33007813)
"47471",47471,"Grünanlage","Thuja","47470","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6659","bm_47470","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680921.87011719, 1247729.30010986)
"47472",47472,"Grünanlage","Thuja","47471","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6660","bm_47471","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680917.61010742, 1247724.71008301)
"47473",47473,"Grünanlage","Thuja","47472","occidentalis","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6661","bm_47472","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680912.84008789, 1247729.16009521)
"47474",47474,"Grünanlage","Thuja","47473","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6662","bm_47473","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680904.42010498, 1247721.00012207)
"47475",47475,"Grünanlage","Thuja","47474","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6663","bm_47474","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680909.34008789, 1247715.97009277)
"47476",47476,"Grünanlage","Thuja","47475","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6664","bm_47475","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680900.48010254, 1247716.70007324)
"47477",47477,"Grünanlage","Thuja","47476","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6690","bm_47476","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680822.86010742, 1247625.00012207)
"47478",47478,"Grünanlage","Thuja","47477","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6691","bm_47477","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680818.23010254, 1247629.88012696)
"47479",47479,"Grünanlage","Thuja","47478","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6692","bm_47478","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680813.31011963, 1247624.710083)
"47480",47480,"Grünanlage","Thuja","47479","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6693","bm_47479","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680818.38012695, 1247619.97009277)
"47481",47481,"Grünanlage","Thuja","47480","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6694","bm_47480","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680809.31011963, 1247620.41009521)
"47482",47482,"Grünanlage","Thuja","47481","occidentalis","Parkbaum","1940","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Thuja occidentalis","WD-6695","bm_47481","Abendländischer Lebensbaum","nicht zugeordnet","Bildschirmeingabe",c(2680814.30010986, 1247615.67010498)
"47483",47483,"Grünanlage","Picea","47482","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6696","bm_47482","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680834.87011719, 1247629.7901001)
"47484",47484,"Grünanlage","Picea","47483","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6697","bm_47483","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680826.96008301, 1247620.17010498)
"47485",47485,"Grünanlage","Picea","47484","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6698","bm_47484","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680821.10009766, 1247607.5701294)
"47486",47486,"Grünanlage","Picea","47485","abies","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6699","bm_47485","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680819.4901123, 1247610.86010742)
"47487",47487,"Grünanlage","Picea","47486","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6700","bm_47486","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680820.19012451, 1247603.68011475)
"47488",47488,"Grünanlage","Prunus","47487","serrulata","Parkbaum","1980","5","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Prunus serrulata 'Kanzan'","WD-6701","bm_47487","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Höhe:<10m, Breite:<10m","Bildschirmeingabe",c(2680832.7600708, 1247590.92010498)
"47489",47489,"Grünanlage","Prunus","47488","serrulata","Parkbaum","1980","5","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Prunus serrulata 'Kanzan'","WD-6702","bm_47488","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Höhe:<10m, Breite:<10m","Bildschirmeingabe",c(2680849.92010498, 1247601.78009033)
"47490",47490,"Grünanlage","Prunus","47489","serrulata","Parkbaum","1980","5","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Prunus serrulata 'Kanzan'","WD-6703","bm_47489","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Höhe:<10m, Breite:<10m","Bildschirmeingabe",c(2680835.52008057, 1247616.87011719)
"47491",47491,"Grünanlage","Betula","47490","pendula","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula 'Youngii'","WD-6704","bm_47490","Sand-Birke, Weiss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680833.09008789, 1247603.78009033)
"47492",47492,"Grünanlage","Betula","47491","pendula","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula 'Youngii'","WD-6705","bm_47491","Sand-Birke, Weiss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680843.62011719, 1247597.0701294)
"47493",47493,"Grünanlage","Betula","47492","pendula","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula 'Youngii'","WD-6706","bm_47492","Sand-Birke, Weiss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680843.66009521, 1247617.2600708)
"47494",47494,"Grünanlage","Acer","47493","palmatum","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Acer palmatum","WD-6707","bm_47493","Fächer-Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680856.81011963, 1247588.33007812)
"47495",47495,"Grünanlage","Picea","47494","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6708","bm_47494","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680864.91009521, 1247597.81011963)
"47496",47496,"Grünanlage","Picea","47495","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6709","bm_47495","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680863.0401001, 1247600.93011475)
"47497",47497,"Grünanlage","Picea","47496","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6710","bm_47496","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680869.83007812, 1247611.5100708)
"47498",47498,"Grünanlage","Picea","47497","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6711","bm_47497","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680876.73010254, 1247610.7401123)
"47499",47499,"Grünanlage","Picea","47498","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6712","bm_47498","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680887.64007568, 1247600.38012695)
"47500",47500,"Grünanlage","Picea","47499","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6713","bm_47499","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680885.75012207, 1247602.35009765)
"47501",47501,"Grünanlage","Picea","47500","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6714","bm_47500","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680885.94012451, 1247599.03009033)
"47502",47502,"Grünanlage","Picea","47501","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6715","bm_47501","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680878.72009277, 1247591.56011963)
"47503",47503,"Grünanlage","Chamaecyparis","47502","lawsoniana","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Chamaecyparis lawsoniana","WD-6716","bm_47502","Lawsons Scheinzypresse","nicht zugeordnet","Bildschirmeingabe",c(2680874.2401123, 1247589.40008545)
"47504",47504,"Grünanlage","Chamaecyparis","47503","lawsoniana","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Chamaecyparis lawsoniana","WD-6717","bm_47503","Lawsons Scheinzypresse","nicht zugeordnet","Bildschirmeingabe",c(2680879.41009521, 1247619.34008789)
"47505",47505,"Grünanlage","Chamaecyparis","47504","lawsoniana","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Chamaecyparis lawsoniana","WD-6718","bm_47504","Lawsons Scheinzypresse","nicht zugeordnet","Bildschirmeingabe",c(2680878.7401123, 1247618.62011719)
"47506",47506,"Grünanlage","Carpinus","47505","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6719","bm_47505","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680895.00012207, 1247585.90008545)
"47507",47507,"Grünanlage","Carpinus","47506","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6720","bm_47506","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680891.50012207, 1247580.2901001)
"47508",47508,"Grünanlage","Carpinus","47507","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6721","bm_47507","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680888.62011719, 1247584.06011963)
"47509",47509,"Grünanlage","Carpinus","47508","betulus","Parkbaum","1960","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6722","bm_47508","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680898.85009766, 1247573.42010499)
"47510",47510,"Grünanlage","Betula","47509","pendula","Parkbaum","1970","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-6723","bm_47509","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680899.52008057, 1247565.0100708)
"47511",47511,"Grünanlage","Betula","47510","pendula","Parkbaum","1960","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-6724","bm_47510","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680891.90008545, 1247562.52008057)
"47512",47512,"Grünanlage","Betula","47511","pendula","Parkbaum","1970","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Betula pendula","WD-6725","bm_47511","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680887.96008301, 1247553.96008301)
"47513",47513,"Grünanlage","Acer","47512","palmatum","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Acer palmatum","WD-6726","bm_47512","Fächer-Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680928.38012695, 1247565.84008789)
"47514",47514,"Grünanlage","Chamaecyparis","47513","nootkatensis","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Chamaecyparis nootkatensis","WD-6727","bm_47513","Nutka-Scheinzypresse","nicht zugeordnet","Bildschirmeingabe",c(2680913.11010742, 1247553.96008301)
"47515",47515,"Grünanlage","Picea","47514","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6728","bm_47514","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680877.30010986, 1247549.85009766)
"47516",47516,"Grünanlage","Picea","47515","abies","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6729","bm_47515","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680879.09008789, 1247551.96008301)
"47517",47517,"Grünanlage","Carpinus","47516","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6730","bm_47516","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680874.66009521, 1247538.18011475)
"47518",47518,"Grünanlage","Cercis","47517","siliquastrum","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Cercis siliquastrum","WD-6731","bm_47517","Gewöhnlicher Judasbaum","nicht zugeordnet","Bildschirmeingabe",c(2680879.36010742, 1247528.56011963)
"47519",47519,"Grünanlage","Pinus","47518","mugo","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Pinus mugo","WD-6732","bm_47518","Berg-Kiefer, Latschen-Kiefer","nicht zugeordnet","Bildschirmeingabe",c(2680941.85009766, 1247565.95007325)
"47520",47520,"Grünanlage","Pinus","47519","mugo","Parkbaum","1980","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Pinus mugo","WD-6733","bm_47519","Berg-Kiefer, Latschen-Kiefer","nicht zugeordnet","Bildschirmeingabe",c(2680944.15008545, 1247568.7901001)
"47523",47523,"Grünanlage","Cedrus","47522","libani","Parkbaum","1900","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Cedrus libani 'ssp. atlantica'","WD-6736","bm_47522","Atlas-Zeder","nicht zugeordnet","Bildschirmeingabe",c(2680862.28009033, 1247525.59008789)
"47524",47524,"Grünanlage","Cedrus","47523","libani","Parkbaum","1900","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Cedrus libani 'ssp. atlantica'","WD-6737","bm_47523","Atlas-Zeder","nicht zugeordnet","Bildschirmeingabe",c(2680889.52008057, 1247516.33007812)
"47526",47526,"Grünanlage","Cercidiphyllum","47525","japonicum","Parkbaum","1960","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Cercidiphyllum japonicum","WD-6739","bm_47525","Kuchenbaum, Katsurabaum","nicht zugeordnet","Bildschirmeingabe",c(2680889.14007568, 1247525.15008545)
"47527",47527,"Grünanlage","Picea","47526","abies","Parkbaum","1990","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Picea abies","WD-6740","bm_47526","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680894.72009277, 1247529.38012695)
"47528",47528,"Grünanlage","Cercis","47527","siliquastrum","Parkbaum","1900","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Cercis siliquastrum","WD-6741","bm_47527","Gewöhnlicher Judasbaum","nicht zugeordnet","Bildschirmeingabe",c(2680852.06011963, 1247538.91009521)
"47529",47529,"Grünanlage","Carpinus","47528","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6742","bm_47528","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680858.85009766, 1247553.33007813)
"47530",47530,"Grünanlage","Carpinus","47529","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6743","bm_47529","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680859.16009521, 1247551.99011231)
"47531",47531,"Grünanlage","Carpinus","47530","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6744","bm_47530","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680870.78009033, 1247554.03009033)
"47532",47532,"Grünanlage","Carpinus","47531","betulus","Parkbaum","1950","4","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Carpinus betulus","WD-6745","bm_47531","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680870.41009521, 1247555.77008057)
"47533",47533,"Grünanlage","Fagus","47532","sylvatica","Parkbaum","1900","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Fagus sylvatica","WD-6746","bm_47532","Rotbuche","nicht zugeordnet","Bildschirmeingabe",c(2680852.9901123, 1247571.53009033)
"47534",47534,"Grünanlage","Fagus","47533","sylvatica","Parkbaum","1900","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Fagus sylvatica","WD-6747","bm_47533","Rotbuche","nicht zugeordnet","Bildschirmeingabe",c(2680846.32012939, 1247577.85009765)
"47535",47535,"Grünanlage","Fagus","47534","sylvatica","Parkbaum","1900","0","Sihlfeld","FH Sihlfeld/Aemtlerstrasse","Fagus sylvatica","WD-6748","bm_47534","Rotbuche","nicht zugeordnet","Bildschirmeingabe",c(2680840.13012695, 1247570.75012207)
