"","OBJECTID","Status","BaumGattun","xtf_id","BaumArtLat","Kategorie","Pflanzjahr","Baumtyp","Quartier","Strasse","BaumNameLa","Baumnummer","POI_ID","BaumNameDe","Baumtyptex","Genauigkei","geometry"
"16181",16181,"Grünanlage","Tilia","16180","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1614","bm_16180","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680746.86309814, 1247964.74810791)
"16182",16182,"Grünanlage","Tilia","16181","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1615","bm_16181","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680742.50311279, 1247959.52709961)
"16183",16183,"Grünanlage","Tilia","16182","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1616","bm_16182","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680737.66308594, 1247963.13909912)
"16184",16184,"Grünanlage","Tilia","16183","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1829","bm_16183","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680732.78210449, 1247967.00610351)
"17595",17595,"Strassenbaum","Acer","17594","pseudoplatanus","Strassenbaum","2005","0","Sihlfeld","Albisriederstrasse","Acer pseudoplatanus","WD-2717","bm_17594","Berg-Ahorn, Wald-Ahorn","nicht zugeordnet","Eingemessen",c(2680544.31207275, 1247966.95910644)
"20765",20765,"Strassenbaum","Acer","20764","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2919","bm_20764","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680665.58007812, 1247977.46612549)
"20766",20766,"Strassenbaum","Acer","20765","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2920","bm_20765","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680654.72412109, 1247975.68011475)
"20767",20767,"Strassenbaum","Acer","20766","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2921","bm_20766","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680643.7401123, 1247974.30407715)
"20768",20768,"Strassenbaum","Acer","20767","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2922","bm_20767","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680634.38909912, 1247973.519104)
"20769",20769,"Strassenbaum","Acer","20768","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2923","bm_20768","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680623.98907471, 1247972.6361084)
"20770",20770,"Strassenbaum","Acer","20769","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2924","bm_20769","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680614.15411377, 1247971.94610596)
"20771",20771,"Strassenbaum","Acer","20770","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2925","bm_20770","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680604.03808594, 1247971.27612305)
"20772",20772,"Strassenbaum","Acer","20771","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2926","bm_20771","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680594.69311523, 1247970.62011719)
"20773",20773,"Strassenbaum","Acer","20772","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2927","bm_20772","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680585.36309814, 1247969.88708496)
"20774",20774,"Strassenbaum","Acer","20773","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2928","bm_20773","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680574.78912354, 1247969.23510742)
"20775",20775,"Strassenbaum","Acer","20774","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2929","bm_20774","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680565.21508789, 1247968.42810059)
"27772",27772,"Grünanlage","Robinia","27771","pseudoacacia","Parkbaum","1900","1","Sihlfeld","Aemtlerstrasse","Robinia pseudoacacia","WD-4004","bm_27771","Robinie, Schein-Akazie","Höhe:>20m, Breite:>10m","Bildschirmeingabe",c(2680692.19012451, 1247849.47009277)
"27844",27844,"Strassenbaum","Gleditsia","27843","triacanthos","Strassenbaum","2009","4","Sihlfeld","Zurlindenstrasse","Gleditsia triacanthos 'Skyline'","WD-4039","bm_27843","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680952.58410645, 1247918.019104)
"27845",27845,"Strassenbaum","Gleditsia","27844","triacanthos","Strassenbaum","2009","4","Sihlfeld","Zurlindenstrasse","Gleditsia triacanthos 'Skyline'","WD-4040","bm_27844","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680941.0100708, 1247927.22711182)
"27846",27846,"Strassenbaum","Gleditsia","27845","triacanthos","Strassenbaum","2009","4","Sihlfeld","Zurlindenstrasse","Gleditsia triacanthos 'Skyline'","WD-4041","bm_27845","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680929.30511475, 1247936.61810302)
"27847",27847,"Strassenbaum","Gleditsia","27846","triacanthos","Strassenbaum","2009","4","Sihlfeld","Zurlindenstrasse","Gleditsia triacanthos 'Skyline'","WD-4042","bm_27846","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680917.53411865, 1247945.93908692)
"27848",27848,"Strassenbaum","Gleditsia","27847","triacanthos","Strassenbaum","2009","4","Sihlfeld","Zurlindenstrasse","Gleditsia triacanthos 'Skyline'","WD-4043","bm_27847","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680905.86212158, 1247955.2901001)
"27849",27849,"Strassenbaum","Gleditsia","27848","triacanthos","Strassenbaum","2009","4","Sihlfeld","Zurlindenstrasse","Gleditsia triacanthos 'Skyline'","WD-4044","bm_27848","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680892.13708496, 1247966.27111817)
"27850",27850,"Strassenbaum","Gleditsia","27849","triacanthos","Strassenbaum","2009","4","Sihlfeld","Zurlindenstrasse","Gleditsia triacanthos 'Skyline'","WD-4045","bm_27849","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680872.53607178, 1247981.89611817)
"27853",27853,"Strassenbaum","Gleditsia","27852","triacanthos","Strassenbaum","2009","4","Sihlfeld","Hardaustrasse","Gleditsia triacanthos 'Skyline'","WD-4048","bm_27852","Gleditschie, Lederhülsenbaum","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680888.55310059, 1247980.27111817)
"27916",27916,"Grünanlage","Pinus","27915","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Pinus nigra","WD-4054","bm_27915","Schwarz-Kiefer","nicht zugeordnet","Bildschirmeingabe",c(2680676.75012207, 1247802.59008789)
"28374",28374,"Strassenbaum","Acer","28373","platanoides","Strassenbaum","2010","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-4377","bm_28373","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680554.98413086, 1247967.74810791)
"30696",30696,"Grünanlage","Parrotia","30695","persica","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Parrotia persica","WD-5358","bm_30695","Parrotie, Eisenholzbaum","nicht zugeordnet","Bildschirmeingabe",c(2680776.08007812, 1247797.40008545)
"30697",30697,"Grünanlage","Parrotia","30696","persica","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Parrotia persica","WD-5359","bm_30696","Parrotie, Eisenholzbaum","nicht zugeordnet","Bildschirmeingabe",c(2680770.23010254, 1247796.58007813)
"30698",30698,"Grünanlage","Parrotia","30697","persica","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Parrotia persica","WD-5360","bm_30697","Parrotie, Eisenholzbaum","nicht zugeordnet","Bildschirmeingabe",c(2680776.4901123, 1247802.70007324)
"30699",30699,"Grünanlage","Alnus","30698","cordata","Parkbaum","1960","4","Sihlfeld","Aemtlerstrasse","Alnus cordata","WD-5361","bm_30698","Italienische-Erle","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680781.11010742, 1247806.2401123)
"30700",30700,"Grünanlage","Alnus","30699","cordata","Parkbaum","1960","4","Sihlfeld","Aemtlerstrasse","Alnus cordata","WD-5362","bm_30699","Italienische-Erle","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680786.83007812, 1247811.27008057)
"30701",30701,"Grünanlage","Alnus","30700","cordata","Parkbaum","1960","4","Sihlfeld","Aemtlerstrasse","Alnus cordata","WD-5363","bm_30700","Italienische-Erle","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680792.81011963, 1247817.80010986)
"30702",30702,"Grünanlage","Acer","30701","japonicum","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5364","bm_30701","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680796.62011719, 1247821.47009277)
"30703",30703,"Grünanlage","Crataegus","30702","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Crataegus spec.","WD-5365","bm_30702","Weissdorn, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680800.2901001, 1247834.25012207)
"30704",30704,"Grünanlage","Crataegus","30703","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Crataegus spec.","WD-5366","bm_30703","Weissdorn, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680793.90008545, 1247835.75012208)
"30705",30705,"Grünanlage","Acer","30704","japonicum","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5367","bm_30704","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680790.63012695, 1247844.45007324)
"30706",30706,"Grünanlage","Pinus","30705","strobus","Parkbaum","1970","0","Sihlfeld","Aemtlerstrasse","Pinus strobus","WD-5368","bm_30705","Weymouths-Kiefer, Strobe","nicht zugeordnet","Bildschirmeingabe",c(2680810.08007812, 1247844.9901123)
"30707",30707,"Grünanlage","Pinus","30706","strobus","Parkbaum","1970","0","Sihlfeld","Aemtlerstrasse","Pinus strobus","WD-5369","bm_30706","Weymouths-Kiefer, Strobe","nicht zugeordnet","Bildschirmeingabe",c(2680803.55010986, 1247856.42010498)
"30708",30708,"Grünanlage","Platanus","30707","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5370","bm_30707","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680829.53009033, 1247855.33007812)
"30709",30709,"Grünanlage","Prunus","30708","domestica","Parkbaum","1940","6","Sihlfeld","Aemtlerstrasse","Prunus domestica","WD-5371","bm_30708","Sammelbegriff für Zwetschgen, Pflaume, Reneklode usw. (Sorte unbek.)","Obstbäume","Bildschirmeingabe",c(2680822.86010742, 1247850.43011474)
"30710",30710,"Grünanlage","Liquidambar","30709","spec.","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5372","bm_30709","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680817.0100708, 1247863.90008545)
"30711",30711,"Grünanlage","Liquidambar","30710","spec.","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5373","bm_30710","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680814.84008789, 1247865.12011719)
"30712",30712,"Grünanlage","Platanus","30711","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5374","bm_30711","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680808.86010742, 1247876.41009521)
"30713",30713,"Grünanlage","Betula","30712","spec.","Parkbaum","1940","0","Sihlfeld","Aemtlerstrasse","Betula spec.","WD-5375","bm_30712","Birke, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680843.40008545, 1247862.94012451)
"30714",30714,"Grünanlage","Acer","30713","japonicum","Parkbaum","1930","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5376","bm_30713","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680837.96008301, 1247857.23010254)
"30715",30715,"Grünanlage","Platanus","30714","spec.","Parkbaum","1875","0","Sihlfeld","Aemtlerstrasse","Platanus spec.","WD-5377","bm_30714","Platane, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680852.78009033, 1247872.19012451)
